Number	Label	"Betweenness centrality in N3 (319)"
1	0	0.002692966
2	6	0.002138808
3	9	0.008458910
4	10	0.013162058
5	11	0.015215552
6	16	0.003970656
7	18	0.007079173
8	19	0.005019493
9	21	0.002864117
10	23	0.005115604
11	26	8.8466300E-4
12	33	4.1248946E-4
13	34	1.1587262E-4
14	35	8.8762576E-4
15	36	0.003429059
16	37	0.005637306
17	38	0.012033693
18	40	0.003003806
19	41	0.008603354
20	42	0.008915458
21	43	0.006080141
22	47	0.006418907
23	50	0.013197812
24	52	0.003111653
25	54	0.012175124
26	56	0.002150554
27	60	0.002378859
28	61	1.2813013E-4
29	62	0.002772174
30	64	0.004464440
31	67	3.2172092E-4
32	68	0.004658007
33	69	0.006099238
34	70	0.007951980
35	72	0.002335721
36	75	0.004076517
37	78	0.002005963
38	80	0.003909279
39	81	0.005898441
40	84	0.008327448
41	86	0.003883335
42	88	4.2860809E-4
43	94	0.001179049
44	95	0.001635853
45	96	0.005142788
46	97	0.009115394
47	99	0.008020985
48	100	0.002934175
49	103	0.004185796
50	104	0.006551068
51	107	0.009446959
52	108	0.002017036
53	111	0.001925709
54	112	0.002199733
55	114	0.003496464
56	116	0.001892366
57	121	0.011565840
58	122	0.004038793
59	123	0.002435995
60	126	0.005188114
61	130	0.006638491
62	135	0.009595904
63	136	1.2956769E-4
64	137	0.010222503
65	138	8.9853069E-4
66	144	0.002531255
67	145	0.001205932
68	148	0.009283760
69	151	0.003429354
70	152	8.6731396E-4
71	153	0.004000845
72	155	0.003183394
73	156	0.003610627
74	157	0.005706945
75	159	0.002858954
76	161	0.001023568
77	162	0.002264296
78	163	0.001220893
79	165	0.003976149
80	167	0.005457928
81	168	0.003272765
82	169	0.003095701
83	170	9.1165850E-4
84	172	0.002413731
85	174	0.001792199
86	177	0.004272497
87	179	3.5580825E-4
88	180	0.007991689
89	183	0.001077360
90	184	0.004532903
91	187	5.0045774E-4
92	191	0.004386345
93	194	0.001153167
94	197	0.008641074
95	200	8.9555687E-5
96	202	0.014118791
97	208	0.001889628
98	212	0.005977895
99	213	0.001397012
100	214	0.003786312
101	216	2.6840032E-4
102	220	0.008976762
103	221	0.004870505
104	224	0.009596092
105	225	0.001167021
106	227	0.001406991
107	229	0.001730874
108	230	0.018751978
109	231	0.006131135
110	232	0.009786424
111	235	0.012093738
112	237	0.009294158
113	239	0.003929852
114	241	4.2264296E-4
115	243	3.1822883E-4
116	246	0.003575377
117	247	0.003531901
118	249	0.001234651
119	250	0.003911457
120	253	0.002736714
121	256	3.8874510E-4
122	259	0.003933834
123	260	0.003729559
124	262	0.004778310
125	265	0.006201818
126	266	0.008377138
127	267	0.003106732
128	270	9.2215865E-4
129	272	0.004482187
130	273	1.6889758E-4
131	277	0.011333603
132	280	0.004228603
133	282	0.004838111
134	284	0.002379890
135	285	0.002363659
136	286	0.009555570
137	288	0.002889615
138	289	0.009007571
139	292	0.005144095
140	293	0.001917265
141	294	0.003961737
142	295	0.002819386
143	296	0.003973056
144	299	0.002500867
145	300	6.6569108E-4
146	301	0.003424189
147	302	0.003728480
148	303	0.005108117
149	305	0.002539269
150	306	0.001159199
151	309	0.007896829
152	310	1.5242227E-4
153	313	0.002132844
