Number	Label	"Betweenness centrality in N7 (638)"
1	0	0.001067971
2	1	7.6431942E-4
3	2	9.2511826E-4
4	3	7.3134435E-4
5	4	0.001250245
6	5	0.002491696
7	6	0.001041233
8	7	0.004704771
9	8	0.001760115
10	9	0.003384408
11	10	0.003647148
12	11	0.005095265
13	12	0.001533566
14	13	0.003061221
15	14	0.002590818
16	15	0.001862014
17	16	0.004221116
18	17	0.005031267
19	18	0.002593111
20	19	0.002112010
21	20	5.4591440E-4
22	21	0.001285220
23	22	0.003020281
24	23	0.002697495
25	24	0.001686475
26	25	0.004428291
27	26	5.1088575E-4
28	27	5.9608217E-4
29	28	8.9620292E-4
30	29	8.6943327E-4
31	30	2.3360264E-4
32	31	8.8737628E-4
33	32	8.6446279E-4
34	33	2.0386875E-4
35	34	2.9923215E-4
36	35	4.4930082E-4
37	36	0.001600571
38	37	0.001846820
39	38	0.005806050
40	39	0.001044247
41	40	0.001640387
42	41	0.003967486
43	42	0.003849643
44	43	0.003518572
45	44	0.002590215
46	45	6.4845364E-4
47	46	0.001631277
48	47	0.002583146
49	48	0.002479045
50	49	0.001591381
51	50	0.007426553
52	51	0.002847441
53	52	0.001249218
54	53	0.001538570
55	54	0.004315948
56	55	5.7312108E-4
57	56	9.1851109E-4
58	57	0.002240366
59	58	3.8643892E-4
60	59	0.001156522
61	60	0.001097908
62	61	4.6430408E-4
63	62	0.002226167
64	63	0.001811316
65	64	0.001670317
66	65	0.004094040
67	66	5.4462517E-4
68	67	5.6174974E-4
69	68	0.001701058
70	69	0.003458782
71	70	0.004110162
72	71	0.001267008
73	72	0.001677959
74	73	0.003383736
75	74	6.8323925E-4
76	75	0.001284036
77	76	0.001597516
78	77	5.7498168E-4
79	78	0.001250153
80	79	6.1223337E-4
81	80	0.001202016
82	81	0.003096407
83	82	7.6697871E-4
84	83	0.001346012
85	84	0.003226323
86	85	3.0592888E-4
87	86	0.001940821
88	87	0.002479387
89	88	6.2812802E-4
90	89	0.001053139
91	90	0.001769967
92	91	0.001340290
93	92	5.8835555E-4
94	93	0.002450141
95	94	5.1279444E-4
96	95	0.001241939
97	96	0.001319032
98	97	0.005207169
99	98	0.003689148
100	99	0.003445443
101	100	0.001847505
102	101	4.7041108E-4
103	102	5.4843814E-4
104	103	0.001741044
105	104	0.002922790
106	105	0.003432435
107	106	6.2451092E-4
108	107	0.002580536
109	108	7.5218096E-4
110	109	3.5746489E-4
111	110	6.0383370E-4
112	111	2.6766919E-4
113	112	7.9375964E-4
114	113	0.001721780
115	114	0.001931690
116	115	7.2634277E-4
117	116	0.002574310
118	117	0.002119609
119	118	0.001130248
120	119	0.001412005
121	120	0.001121191
122	121	0.005939967
123	122	0.001306978
124	123	0.001313174
125	124	0.002634747
126	125	0.002472924
127	126	0.002355804
128	127	2.5625855E-4
129	128	0.001524620
130	129	0.002873811
131	130	0.002987432
132	131	0.001513265
133	132	0.001078286
134	133	0.001258487
135	134	0.002604145
136	135	0.005453578
137	136	2.5223860E-4
138	137	0.002827420
139	138	5.3685842E-4
140	139	2.3581980E-5
141	140	6.1307401E-4
142	141	0.001575282
143	142	0.001807129
144	143	5.5182034E-5
145	144	0.001308351
146	145	8.2485103E-4
147	146	8.3794184E-4
148	147	0.001379481
149	148	0.003723336
150	149	0.001365927
151	150	0.001425152
152	151	9.4895386E-4
153	152	4.8637953E-4
154	153	9.8426557E-4
155	154	0.005025762
156	155	0.001772111
157	156	0.001582011
158	157	0.001758643
159	158	0.004431383
160	159	9.8734933E-4
161	160	0.003827161
162	161	3.5042943E-4
163	162	0.001395393
164	163	5.0415848E-4
165	164	0.001978112
166	165	0.001039664
167	166	5.7810604E-4
168	167	0.002404578
169	168	0.001786581
170	169	0.001224367
171	170	4.1248076E-4
172	171	0.001086761
173	172	5.8255612E-4
174	173	0.003244291
175	174	0.001477327
176	175	6.2407899E-4
177	176	6.0828002E-4
178	177	0.001545843
179	178	0.001201097
180	179	2.2220131E-4
181	180	0.002960352
182	181	0.001424804
183	182	0.002671425
184	183	2.8975101E-4
185	184	0.001955454
186	185	3.6483573E-4
187	186	0.001748378
188	187	3.7119915E-4
189	188	5.6847830E-4
190	189	1.9333473E-4
191	190	8.8342394E-4
192	191	0.001240672
193	192	4.9336883E-4
194	193	0.002818061
195	194	0.001068267
196	195	0.001059771
197	196	0.002982572
198	197	0.006133553
199	198	4.3368289E-4
200	199	6.8869730E-4
201	200	1.2632624E-4
202	201	0.001846930
203	202	0.006300547
204	203	0.001423903
205	204	0.001026475
206	205	5.2134184E-4
207	206	0.001252425
208	207	0.002065845
209	208	6.8743177E-4
210	209	6.8089540E-4
211	210	0.003382990
212	211	0.001679996
213	212	0.002956649
214	213	4.3601622E-4
215	214	0.001768348
216	215	0.001369507
217	216	2.5838349E-4
218	217	0.005774223
219	218	0.003285438
220	219	0.002579496
221	220	0.004774446
222	221	0.002107648
223	222	0.001597349
224	223	0.002852119
225	224	0.002778968
226	225	9.9716949E-4
227	226	0.003729844
228	227	0.001159691
229	228	5.6222140E-4
230	229	6.6980578E-4
231	230	0.007731204
232	231	0.002937967
233	232	0.004301548
234	233	0.001535416
235	234	0.003114011
236	235	0.007442728
237	236	0.001622548
238	237	0.004626226
239	238	0.002957186
240	239	0.002680920
241	240	0.003055558
242	241	1.4653866E-4
243	242	0.001111655
244	243	6.6471863E-4
245	244	0.002445419
246	245	0.001284061
247	246	0.002353694
248	247	0.001918652
249	248	0.004580236
250	249	6.9221492E-4
251	250	0.001391868
252	251	5.5803159E-4
253	252	0.002445592
254	253	9.5107153E-4
255	254	2.9169495E-4
256	255	6.8511584E-4
257	256	1.9987477E-4
258	257	8.6374025E-4
259	258	6.4457710E-4
260	259	0.001553451
261	260	0.001427289
262	261	0.001006830
263	262	0.002057244
264	263	0.002441235
265	264	9.5160722E-4
266	265	0.001609995
267	266	0.003186307
268	267	9.4751080E-4
269	268	0.001516947
270	269	0.001222261
271	270	8.5821942E-4
272	271	0.001321482
273	272	0.003226696
274	273	2.6365142E-4
275	274	0.001774573
276	275	0.004982205
277	276	0.006280741
278	277	0.003930486
279	278	0.001296300
280	279	6.4759904E-4
281	280	0.001853472
282	281	0.001662909
283	282	0.001832297
284	283	0.001611371
285	284	0.001329810
286	285	8.2189339E-4
287	286	0.005737975
288	287	0.003135928
289	288	0.001419814
290	289	0.001998394
291	290	8.8147175E-4
292	291	0.003038950
293	292	0.002629363
294	293	4.2458965E-4
295	294	0.001694105
296	295	0.001878661
297	296	0.001492693
298	297	0.003987099
299	298	0.001368410
300	299	0.001414412
301	300	1.8141465E-4
302	301	0.001159483
303	302	0.001708864
304	303	0.001620581
305	304	3.2274356E-4
306	305	0.001141034
307	306	5.7660984E-4
308	307	5.5020231E-4
309	308	0.002484114
310	309	0.003165806
311	310	2.0697052E-4
312	311	4.8474758E-4
313	312	6.6864677E-4
314	313	0.001411352
315	314	4.0780738E-4
316	315	0.002148083
317	316	6.8439637E-4
318	317	5.5197077E-4
319	318	0.001073161
320	319	7.9173532E-5
321	320	8.8244652E-4
322	321	9.0207950E-4
323	322	0.002101346
324	323	0.001110162
325	324	0.001537852
326	325	6.2459044E-4
327	326	7.1249382E-4
328	327	0.001726412
329	328	0.005352334
330	329	0.001376923
331	330	0.009783596
332	331	0.003500668
333	332	0.004372206
334	333	0.002287016
335	334	0.002955829
336	335	0.002328082
337	336	3.1029068E-4
338	337	0.001154038
339	338	0.002137965
340	339	0.008064693
341	340	0.001029310
342	341	0.001264655
343	342	6.7806040E-4
344	343	3.1175947E-4
345	344	0.001712983
346	345	0.002929166
347	346	0.003732321
348	347	0.003160435
349	348	0.001615503
350	349	5.3140185E-4
351	350	0.005282429
352	351	0.002874304
353	352	9.9782040E-4
354	353	0.003141066
355	354	8.7957562E-4
356	355	0.001173071
357	356	0.005577006
358	357	9.1752016E-4
359	358	0.001670134
