Number	Label	"Betweenness centrality in N12 (319)"
1	1	6.1978491E-4
2	2	0.003294074
3	4	0.002581091
4	5	0.006448497
5	7	0.012906351
6	8	0.003628270
7	11	0.009471699
8	16	0.007931521
9	17	0.009639246
10	18	0.005245648
11	20	7.8144916E-4
12	23	0.005292948
13	24	0.002355552
14	25	0.010353858
15	26	8.7297167E-4
16	28	0.001581107
17	29	9.4552421E-4
18	35	0.001384379
19	36	0.002619949
20	38	0.015019276
21	44	0.006086058
22	47	0.006983736
23	48	0.005002017
24	49	0.002100125
25	51	0.005894692
26	52	0.005023202
27	56	0.002110599
28	57	0.005271740
29	59	0.002929749
30	60	0.002948900
31	61	8.3167072E-4
32	62	0.006532878
33	63	0.002921511
34	65	0.005809532
35	70	0.008447238
36	75	0.003751381
37	76	0.003885383
38	78	0.003590077
39	80	0.001921607
40	81	0.006247025
41	82	0.001201097
42	83	0.001696847
43	84	0.008926003
44	86	0.003013071
45	87	0.005457701
46	91	7.0870385E-4
47	93	0.005542923
48	94	0.001219593
49	95	0.001622882
50	98	0.009654571
51	103	0.002022023
52	105	0.003909604
53	106	0.001244260
54	107	0.006047052
55	108	0.004065849
56	109	0.001307019
57	111	3.4038050E-4
58	113	0.006782494
59	118	0.002554367
60	119	3.8141929E-4
61	120	0.001673252
62	121	0.014882469
63	123	0.001613180
64	124	0.004447594
65	127	5.0821639E-4
66	133	0.003670835
67	137	0.006334150
68	138	7.2519314E-4
69	139	0
70	141	0.002861153
71	143	4.8035693E-5
72	148	0.006433831
73	155	0.003810294
74	156	0.001838947
75	157	0.002698420
76	158	0.008529319
77	164	0.004223984
78	166	2.3272625E-4
79	167	0.006413730
80	168	0.003376627
81	169	0.002093060
82	170	0.001675760
83	171	0.003712168
84	172	0.001032789
85	174	0.002697179
86	175	5.3603124E-4
87	176	9.7044750E-4
88	177	0.004991736
89	178	0.001442648
90	180	0.006028574
91	181	0.002193302
92	184	0.004096321
93	189	5.6209180E-4
94	191	0.001774617
95	193	0.004228902
96	194	0.001663900
97	196	0.003231757
98	197	0.015692983
99	199	0.001935924
100	200	0
101	202	0.016557951
102	204	0.001614979
103	209	0.001511350
104	211	0.003886444
105	213	0.001543210
106	214	0.004468044
107	216	2.9911060E-4
108	217	0.013807949
109	218	0.006967586
110	219	0.005997494
111	220	0.010464133
112	222	0.005672663
113	223	0.005086577
114	226	0.006549591
115	228	0.002051581
116	230	0.019529653
117	231	0.006433420
118	232	0.010321032
119	234	0.008656806
120	237	0.011463175
121	238	0.004147507
122	239	0.006741664
123	241	6.7550184E-4
124	249	8.8072064E-4
125	250	0.001955659
126	254	3.8657832E-4
127	256	5.2644489E-4
128	259	0.002472756
129	260	0.004810742
130	262	0.003636144
131	264	0.003362814
