Number	Label	"All Degree of N1 (638)"
1	0	32
2	1	26
3	2	38
4	3	37
5	4	29
6	5	58
7	6	88
8	7	124
9	8	29
10	9	57
11	10	54
12	11	59
13	12	44
14	13	49
15	14	50
16	15	36
17	16	124
18	17	49
19	18	86
20	19	109
21	20	73
22	21	37
23	22	62
24	23	47
25	24	31
26	25	54
27	26	20
28	27	35
29	28	27
30	29	40
31	30	30
32	31	42
33	32	31
34	33	37
35	34	29
36	35	56
37	36	49
38	37	108
39	38	149
40	39	73
41	40	78
42	41	114
43	42	120
44	43	123
45	44	126
46	45	76
47	46	90
48	47	43
49	48	51
50	49	34
51	50	85
52	51	54
53	52	25
54	53	31
55	54	47
56	55	25
57	56	25
58	57	57
59	58	15
60	59	32
61	60	43
62	61	21
63	62	96
64	63	66
65	64	56
66	65	91
67	66	42
68	67	41
69	68	75
70	69	92
71	70	115
72	71	41
73	72	37
74	73	102
75	74	34
76	75	58
77	76	80
78	77	26
79	78	45
80	79	60
81	80	67
82	81	53
83	82	26
84	83	43
85	84	47
86	85	16
87	86	54
88	87	79
89	88	54
90	89	51
91	90	42
92	91	39
93	92	34
94	93	81
95	94	55
96	95	60
97	96	48
98	97	119
99	98	82
100	99	56
101	100	120
102	101	19
103	102	23
104	103	63
105	104	89
106	105	56
107	106	23
108	107	48
109	108	24
110	109	23
111	110	24
112	111	20
113	112	29
114	113	54
115	114	49
116	115	33
117	116	82
118	117	45
119	118	81
120	119	39
121	120	60
122	121	141
123	122	55
124	123	36
125	124	112
126	125	94
127	126	115
128	127	29
129	128	98
130	129	90
131	130	115
132	131	85
133	132	25
134	133	50
135	134	55
136	135	121
137	136	20
138	137	49
139	138	28
140	139	8
141	140	45
142	141	39
143	142	46
144	143	23
145	144	47
146	145	36
147	146	26
148	147	26
149	148	41
150	149	48
151	150	37
152	151	29
153	152	34
154	153	47
155	154	108
156	155	43
157	156	38
158	157	47
159	158	64
160	159	40
161	160	74
162	161	20
163	162	37
164	163	29
165	164	38
166	165	36
167	166	22
168	167	77
169	168	30
170	169	39
171	170	14
172	171	18
173	172	19
174	173	41
175	174	29
176	175	16
177	176	12
178	177	23
179	178	20
180	179	12
181	180	38
182	181	37
183	182	37
184	183	13
185	184	60
186	185	41
187	186	108
188	187	16
189	188	25
190	189	14
191	190	22
192	191	29
193	192	47
194	193	115
195	194	66
196	195	51
197	196	52
198	197	97
199	198	17
200	199	19
201	200	9
202	201	38
203	202	129
204	203	57
205	204	44
206	205	21
207	206	49
208	207	39
209	208	69
210	209	21
211	210	26
212	211	80
213	212	56
214	213	47
215	214	46
216	215	30
217	216	13
218	217	69
219	218	51
220	219	59
221	220	71
222	221	51
223	222	47
224	223	66
225	224	45
226	225	26
227	226	49
228	227	22
229	228	77
230	229	38
231	230	164
232	231	128
233	232	92
234	233	78
235	234	54
236	235	160
237	236	57
238	237	135
239	238	94
240	239	53
241	240	74
242	241	27
243	242	53
244	243	42
245	244	63
246	245	54
247	246	49
248	247	41
249	248	73
250	249	34
251	250	43
252	251	35
253	252	80
254	253	74
255	254	31
256	255	34
257	256	19
258	257	44
259	258	57
260	259	91
261	260	71
262	261	73
263	262	81
264	263	100
265	264	50
266	265	48
267	266	74
268	267	77
269	268	95
270	269	82
271	270	59
272	271	81
273	272	53
274	273	35
275	274	57
276	275	124
277	276	64
